longitude,latitude,Labels
-79.11001,50.58333,#FA3E0C
-73.568289,45.538408,#17FA2B
-72.39192,46.32285,#FA3E0C
-72.60635,46.69814,#FA3E0C
-78.9824,48.36211,#FA3E0C
-123.071651,49.270356,#17FA2B
-73.44627,46.66846,#FA3E0C
-73.464832,45.457223,#17FA2B
-79.388767,43.752447,#17FA2B
-75.90013,49.2545,#FA3E0C
-77.0446,53.251,#FA3E0C
-74.29458,45.8792,#FA3E0C
-70.4635,47.4498,#FA3E0C
-79.05157,49.36751,#FA3E0C
-69.99183,48.65888,#FA3E0C
-74.29262,50.16427,#FA3E0C
-79.44035,47.27698,#FA3E0C
-79.640406,43.729311,#17FA2B
-75.28141,46.14898,#FA3E0C
-73.71097,46.26709,#FA3E0C
-74.3167,45.766,#FA3E0C
-73.7993,46.60851,#FA3E0C
-76.63661,51.07554,#FA3E0C
-65.27454,48.86931,#FA3E0C
-75.99739,46.41936,#FA3E0C
-72.5086,46.7353,#FA3E0C
-114.020979,51.046904,#17FA2B
-76.79159,46.41847,#FA3E0C
-123.050346,49.119884,#17FA2B
-73.412775,45.446667,#17FA2B
-72.83519,45.05756,#FA3E0C
-70.9125,49.59772,#FA3E0C
-78.6192,49.8731,#FA3E0C
-71.44171,48.43555,#FA3E0C
-114.051168,50.957297,#17FA2B
-79.328952,43.680753,#17FA2B
-76.08389,45.94814,#FA3E0C
-73.15198,47.65978,#FA3E0C
-73.520238,45.483289,#17FA2B
-75.733002,45.350538,#17FA2B
-79.38946,48.61211,#FA3E0C
-70.39262,47.68465,#FA3E0C
-114.037034,51.090832,#17FA2B
-70.98003,50.92386,#FA3E0C
-73.59165,45.617706,#17FA2B
-78.4443,48.54856,#FA3E0C
-75.14975,50.35132,#FA3E0C
-123.155845,49.205129,#17FA2B
-122.977276,49.219004,#17FA2B
-75.85526,46.49761,#FA3E0C
-71.79793,48.67206,#FA3E0C
-78.96896,48.21883,#FA3E0C
-71.5456,46.3006,#FA3E0C
-75.65986,45.427744,#17FA2B
-76.08204,45.76799,#FA3E0C
-113.944876,50.91533,#17FA2B
-123.197466,49.213202,#17FA2B
-74.90558,49.54856,#FA3E0C
-69.24728,48.54676,#FA3E0C
-76.72364,49.59233,#FA3E0C
-68.2422,52.0,#FA3E0C
-79.288479,43.733702,#17FA2B
-114.044561,51.073087,#17FA2B
-71.24741,46.02698,#FA3E0C
-122.99739,49.099611,#17FA2B
-79.493436,43.707157,#17FA2B
-79.618259,43.763405,#17FA2B
-114.06425,51.141207,#17FA2B
-77.19189,49.45983,#FA3E0C
-73.659047,45.565233,#17FA2B
-77.2086,49.5694,#FA3E0C
-73.4606,45.0844,#FA3E0C
-72.2734,45.6492,#FA3E0C
-73.90834,49.59592,#FA3E0C
-123.073854,49.215178,#17FA2B
-70.5439,46.8303,#FA3E0C
-72.06301,48.42026,#FA3E0C
-72.37565,47.17566,#FA3E0C
-77.7017,48.0578,#FA3E0C
-73.772412,45.539888,#17FA2B
-72.15119,50.26439,#FA3E0C
-68.92327,48.97692,#FA3E0C
-75.675548,45.471515,#17FA2B
-78.21997,48.79317,#FA3E0C
-65.13775,49.23052,#FA3E0C
-75.38527,46.56835,#FA3E0C
-114.09728,50.919982,#17FA2B
-76.13431,50.26709,#FA3E0C
-73.596779,45.52564,#17FA2B
-72.22542,48.81565,#FA3E0C
-75.45463,52.09053,#FA3E0C
-75.60497,45.60222,#FA3E0C
-72.6485,49.95534,#FA3E0C
-114.053028,51.041733,#17FA2B
-70.85939,46.30126,#FA3E0C
-73.835558,45.453583,#17FA2B
-74.55978,46.57464,#FA3E0C
-77.49082,46.70174,#FA3E0C
-72.60489,49.07644,#FA3E0C
-114.163585,50.904842,#17FA2B
-75.592412,45.354352,#17FA2B
-76.59636,48.30935,#FA3E0C
-122.984265,49.196408,#17FA2B
-74.01436,46.28327,#FA3E0C
-73.65346,47.08873,#FA3E0C
-72.5729,46.39179,#FA3E0C
-76.49871,45.86391,#FA3E0C
-79.249905,43.818908,#17FA2B
-73.2877,46.39179,#FA3E0C
-114.104341,51.051999,#17FA2B
-69.61318,47.73591,#FA3E0C
-72.72904,46.63819,#FA3E0C
-123.011834,49.219923,#17FA2B
